Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
Apartamento;Jacarepaguá;4;2;2;155;3000.0;1664.0;309.0;19.35483870967742;Apartamento
Apartamento;Ipanema;3;1;0;130;8000.0;2000.0;480.0;61.53846153846154;Apartamento
Apartamento;Botafogo;3;1;1;123;4000.0;1188.0;221.0;32.520325203252035;Apartamento
Apartamento;Cachambi;2;0;0;50;900.0;313.0;0.0;18.0;Apartamento
Apartamento;Botafogo;1;0;0;38;1300.0;400.0;25.0;34.21052631578947;Apartamento
Apartamento;Tijuca;2;1;0;88;1100.0;693.0;32.0;12.5;Apartamento
Apartamento;Lins de Vasconcelos;2;0;0;50;900.0;360.0;13.0;18.0;Apartamento
Apartamento;Recreio dos Bandeirantes;3;1;1;80;1700.0;900.0;195.0;21.25;Apartamento
Apartamento;Copacabana;1;0;0;36;1700.0;632.0;69.0;47.22222222222222;Apartamento
Apartamento;Campo Grande;2;1;0;70;750.0;330.0;0.0;10.714285714285714;Apartamento
Apartamento;Freguesia (Jacarepaguá);1;1;0;49;850.0;590.0;37.0;17.346938775510203;Apartamento
Apartamento;Copacabana;1;0;0;37;2200.0;555.0;70.0;59.45945945945946;Apartamento
Apartamento;Ipanema;3;1;1;126;6000.0;1667.0;590.0;47.61904761904762;Apartamento
Apartamento;Gávea;2;1;0;63;3300.0;650.0;0.0;52.38095238095238;Apartamento
Apartamento;Barra da Tijuca;2;1;0;74;2100.0;750.0;0.0;28.37837837837838;Apartamento
Apartamento;Barra da Tijuca;2;1;1;70;2300.0;1000.0;80.0;32.857142857142854;Apartamento
Apartamento;Barra da Tijuca;4;2;1;330;9000.0;3100.0;1085.0;27.272727272727277;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;65;1800.0;560.0;0.0;27.692307692307693;Apartamento
Apartamento;Flamengo;3;0;1;110;3800.0;659.0;146.0;34.54545454545455;Apartamento
Apartamento;Botafogo;3;1;1;102;5100.0;1300.0;342.0;50.0;Apartamento
Apartamento;Glória;1;0;0;28;1500.0;250.0;0.0;53.57142857142857;Apartamento
Apartamento;Barra da Tijuca;2;2;1;65;1600.0;1270.0;233.0;24.615384615384617;Apartamento
